X	Y	Z
-3.83655	-8.86156	-3.71858
-1.94114	-6.08817	-1.77485
-0.318855	-7.30645	-2.60068
0.358412	-8.86155	-4.33376
-0.22344	-7.07592	-4.12314
0.857238	-8.86086	-3.75479
1.98727	-8.86161	-3.32243
3.16606	-8.86158	-2.90574
4.1271	-8.86047	-3.74253
4.83931	-8.86201	-3.87806
7.22598	-8.01014	-4.90265
6.81512	-8.86074	-3.9867
-8.85395	-8.85822	-3.67262
-5.74489	-8.03942	-3.90612
-5.46205	-8.86178	-4.00778
-3.56526	-6.81515	-1.90218
-3.2927	-8.0547	-2.80658
-3.23938	-8.00883	-4.34305
-0.815104	-8.86175	-4.83248
-0.332378	-8.86144	-4.24183
0.618292	-6.75006	-4.99002
2.03472	-8.86117	-5.1805
2.96126	-8.86164	-4.14833
3.92017	-8.8623	-4.99081
5.09965	-8.02634	-3.16868
6.14621	-5.26603	-6.18209
8.85495	-8.85879	-4.37532
-8.85367	-8.85863	-4.10477
-7.36596	-8.86051	-3.14938
-6.16001	-6.11869	-4.73412
-4.6551	-7.09208	-4.87702
-3.16681	-8.86168	-3.7412
-1.35216	-8.02425	-4.08243
-1.72001	-8.86103	-3.99606
-0.400392	-6.46918	-4.96484
0.853833	-8.06717	-2.96832
1.07717	-8.86135	-4.41723
2.72839	-8.8622	-3.46553
7.21859	-7.20423	-4.41484
5.06969	-8.86092	-4.58221
6.1023	-8.86097	-3.59472
7.99849	-4.46344	-5.16838
-8.85392	-8.85713	-4.96819
-8.85356	-8.85754	-5.82775
-6.60385	-5.24133	-4.66661
-6.2586	-5.20048	-3.61466
-1.49364	-8.8609	-4.69404
-2.92008	-6.44391	-3.64747
-0.34469	-4.34771	-5.07432
2.10554	-4.42142	-5.04209
1.0898	-4.45243	-6.43387
3.239	-5.15513	-6.25449
5.77648	-5.32949	-5.3154
0.363129	-5.85974	-2.63139
6.84815	-4.44875	-8.26224
8.11885	-8.86299	-6.01403
8.85556	-8.85906	-4.86614
-8.85365	-8.85776	-4.53976
-7.93096	-7.26274	-6.45938
-7.94597	-6.25332	-7.22997
-5.44159	-7.28488	-4.89889
-2.74823	-7.98949	-5.04805
-2.89035	-8.05028	-5.89384
-3.22938	-7.19548	-6.58608
-1.25414	-6.35652	-6.41317
2.25734	-4.35303	-4.16737
1.97439	-7.32078	-4.04863
1.40602	-5.45384	-6.50665
6.3604	-6.07431	-6.28302
4.91469	-7.30754	-2.8218
6.62868	-4.46182	-6.56058
8.85561	-8.8595	-3.8871
-8.85264	-7.98956	-5.50307
-8.01971	-8.86121	-5.62887
-6.71807	-5.1048	-6.0701
-5.6539	-4.34576	-4.7219
-5.10337	-4.32638	-7.42412
-1.93004	-8.86161	-5.23286
-3.51672	-5.34058	-7.02204
-1.91733	-5.18978	-4.88671
2.43134	-4.47099	-7.23949
1.7576	-8.86257	-4.46577
3.50907	-6.85421	-5.67602
3.90405	-5.98822	-5.44316
6.95801	-5.36879	-7.04523
7.60624	-8.86134	-6.41602
8.85628	-8.85907	-5.35329
-8.84682	-7.17434	-5.87578
-8.01372	-8.86131	-4.97992
-6.71095	-8.86145	-4.23689
-7.36967	-8.01664	-6.48187
-3.43245	-8.86137	-6.30369
-5.48681	-6.36588	-7.94772
-2.0906	-6.35659	-6.37488
0.554896	-8.04445	-4.01683
2.95498	-6.23656	-5.57093
4.78475	-4.41326	-6.5445
2.22712	-8.86157	-3.98941
3.7278	-8.03719	-3.96151
7.45989	-4.47353	-6.68861
8.02532	-8.02734	-5.07417
8.85338	-8.03209	-4.00575
-8.85327	-7.93933	-4.84124
-8.02784	-8.01009	-3.89994
-8.22462	-4.3878	-6.11262
-4.20951	-8.02413	-3.95782
-4.88117	-4.28946	-5.15499
-0.101184	-8.86134	-4.91006
-4.51771	-6.33775	-6.38027
-0.368117	-4.47521	-7.31898
2.16305	-6.28934	-7.18418
1.29002	-6.27306	-7.15737
-0.479722	-8.02719	-0.892943
7.2196	-7.10017	-7.16063
6.37294	-4.44181	-7.43972
7.9839	-6.34583	-6.35651
8.84915	-7.34537	-4.11009
-8.84461	-6.99287	-4.49195
-8.85273	-7.98695	-8.1102
